pid,marque_cpu,modele_cpu,marque_gpu,modele_gpu,type_stockage,capacite_stockage,type_ram,ram,os
 88,atmel,XMEGA-E,gigabyte,AoriusXTREME,sshd,2000,dram,32,debian
 89,vissonic,vx-9,evga,rtx2060KO,hdd,1000,sram,16,debian
 90,acer,xeonE5620,pny,GeForceXLR8,hdd,128,ecc,16,ubuntu
 91,amd,Am286,zotac,GeForceGTX10,ssd,128,ecc,1,linux
 92,amd,Amd-k6,pny,GeForceUprising,hdd,128,dram,8,linux
 93,amd,Amd-k6,sapphire,Pulse,hdd,1000,ecc,32,linux
 94,vissonic,v-digital,gigabyte,AoriusRadeon,hdd,128,ecc,32,debian
 95,vissonic,v-digital,evga,rtx2060KO,sshd,128,dram,8,macOS
 96,barco,cse-200,evga,rtx3090XC3,ssd,512,ddr,16,ubuntu
 97,acer,xeonE5620,sapphire,Pulse,ssd,256,sram,4,ubuntu
 98,atmel,XMEGA-E,asus,turbo,hdd,512,dram,4,linux
 99,nxp,imx8M,gigabyte,AoriusRadeon,ssd,1000,dram,1,windows
 100,barco,cx-30,gigabyte,AoriusRadeon,hdd,128,sram,16,linux
