aid,cid,pid,note,avis,date_publi
 107,193,107,4.25,Très satisfait de cet achat,2019-06-23
 108,99,108,4,Très satisfait de cet achat,2013-09-26
 109,7,109,0.25,Suivi déplorable,2015-09-11
 110,52,110,0.25,Rapport qualité prix satisfaisante,2019-04-29
 111,70,111,1.5,Très satisfait de cet achat,2015-07-07
 112,78,112,2.5,Article super,2014-07-13
 113,11,113,4,Qualité et durée de vie médiocre,2015-11-27
 114,193,114,4,Très satisfait de cet achat,2013-12-08
 115,186,115,1.5,Excellent Produit,2018-12-03
 116,125,116,4,Article super,2013-07-28
 117,122,117,4.75,Article super,2014-09-20
 118,137,118,1,Article super,2014-05-02
 119,104,119,4.75,Très satisfait de cet achat,2018-01-15
 120,168,120,4.75,Rapport qualité prix satisfaisante,2013-07-11
 121,11,121,4.5,Très satisfait de cet achat,2015-03-20
 122,109,122,1,Rapport qualité prix satisfaisante,2017-04-30
 123,174,123,4,Très satisfait de cet achat,2019-04-26
 124,153,124,1,Excellent Produit,2019-06-14
 125,112,125,2.5,Article super,2018-09-30
 126,18,126,3.75,Livraison Exemplaire,2014-01-14
 127,30,127,4.75,Rapport qualité prix satisfaisante,2020-10-12
 128,108,128,1.5,Excellent Produit,2018-04-25
 129,57,129,2,Article super,2013-08-23
 130,32,130,3.75,Rapport qualité prix satisfaisante,2020-06-05
 131,24,131,2,Suivi déplorable,2019-12-22
 132,97,132,3.75,Suivi déplorable,2013-08-07
 133,44,133,0.75,Rapport qualité prix satisfaisante,2019-12-01
 134,141,134,1.5,Excellent Produit,2014-01-18
 135,151,135,1.25,Rapport qualité prix satisfaisante,2020-10-17
 136,57,136,1.5,Suivi déplorable,2021-04-11
 137,35,137,1,Article super,2018-04-09
 138,10,138,0.5,Livraison Exemplaire,2014-08-19
 139,136,139,1,Rapport qualité prix satisfaisante,2019-06-23
 140,40,140,4.25,Excellent Produit,2020-12-07
 141,194,141,4,Rapport qualité prix satisfaisante,2014-02-23
 142,20,142,4,Excellent Produit,2020-01-28
 143,143,143,4.5,Suivi déplorable,2017-09-17
 144,46,144,2.5,Article super,2018-02-11
 145,120,145,0.25,Qualité et durée de vie médiocre,2016-03-13
 146,58,146,4.25,Livraison Exemplaire,2018-01-08
 147,49,147,4.5,Très satisfait de cet achat,2019-11-15
 148,168,148,0.25,Livraison Exemplaire,2016-09-08
 149,3,149,4.25,Qualité et durée de vie médiocre,2015-02-25
 150,169,150,0.5,Article super,2019-08-22
 151,55,151,0.5,Excellent Produit,2013-08-22
 152,160,152,2.5,Très satisfait de cet achat,2019-04-21
 153,145,153,5,Article super,2018-11-22
 154,79,154,4,Très satisfait de cet achat,2017-09-07
 155,64,155,1.5,Article super,2016-01-22
 156,10,156,1.25,Article super,2019-06-14
 157,93,157,1.5,Article super,2020-05-25
 158,49,158,5,Article super,2017-07-13
 159,103,159,5,Livraison Exemplaire,2018-11-01
 160,61,160,0.75,Rapport qualité prix satisfaisante,2015-09-02
 161,77,161,4.25,Article super,2017-11-29
 162,3,162,1,Rapport qualité prix satisfaisante,2018-12-19
 163,76,163,0.5,Excellent Produit,2020-06-03
 164,112,164,5,Rapport qualité prix satisfaisante,2019-07-13
 165,20,165,4.5,Qualité et durée de vie médiocre,2016-06-11
 166,118,166,0.25,Très satisfait de cet achat,2020-03-24
 167,74,167,4.5,Très satisfait de cet achat,2016-03-24
 168,172,168,1.5,Article super,2013-05-26
 169,160,169,0.5,Livraison Exemplaire,2014-02-25
 170,124,170,0.75,Article super,2013-12-28
 171,100,171,4,Suivi déplorable,2017-11-08
 172,111,172,1.5,Article super,2017-01-05
 173,187,173,1,Livraison Exemplaire,2014-06-08
 174,149,174,1,Article super,2013-12-31
 175,29,175,4.75,Très satisfait de cet achat,2018-08-28
 176,188,176,0.5,Livraison Exemplaire,2020-02-16
 177,106,177,4.25,Article super,2017-06-26
 178,179,178,0.75,Très satisfait de cet achat,2018-07-29
 179,135,179,4.75,Suivi déplorable,2017-02-26
 180,78,180,2,Suivi déplorable,2018-01-07
 181,75,181,5,Livraison Exemplaire,2020-07-30
 182,104,182,2.5,Article super,2017-06-08
 183,83,183,0.75,Suivi déplorable,2020-10-23
 184,147,184,2.5,Très satisfait de cet achat,2020-06-10
 185,32,185,0.25,Excellent Produit,2020-11-26
 186,105,186,5,Suivi déplorable,2013-11-10
 187,64,187,5,Rapport qualité prix satisfaisante,2020-12-24
 188,51,188,1.25,Rapport qualité prix satisfaisante,2018-08-18
 189,162,189,1,Suivi déplorable,2016-08-31
 190,108,190,1,Rapport qualité prix satisfaisante,2013-08-14
 191,114,191,2,Article super,2017-10-01
 192,82,192,0.75,Article super,2017-06-13
 193,109,193,1.5,Rapport qualité prix satisfaisante,2013-10-14
 194,11,194,3.75,Rapport qualité prix satisfaisante,2019-03-14
 195,147,195,1.5,Suivi déplorable,2021-02-04
 196,192,196,4.25,Excellent Produit,2017-09-27
 197,153,197,0.5,Qualité et durée de vie médiocre,2017-06-20
 198,181,198,4.5,Très satisfait de cet achat,2015-11-17
 199,57,199,4.75,Suivi déplorable,2018-01-31
 200,94,200,1.25,Livraison Exemplaire,2019-10-16
201,179,201,2.5,Rapport qualité prix satisfaisante,2013-12-28
 202,142,202,4,Excellent Produit,2020-05-23
 203,176,203,2.5,Article super,2020-02-11
 204,177,204,1.5,Livraison Exemplaire,2021-04-04
 205,59,205,3.75,Très satisfait de cet achat,2020-03-23
 206,100,206,0.5,Qualité et durée de vie médiocre,2016-02-14
 207,106,207,4.25,Qualité et durée de vie médiocre,2016-12-07
 208,127,208,0.25,Suivi déplorable,2014-10-12
 209,171,209,2,Qualité et durée de vie médiocre,2018-01-27
 210,34,210,0.5,Qualité et durée de vie médiocre,2016-08-31
 211,51,211,3.75,Suivi déplorable,2014-09-02
 212,23,212,0.75,Qualité et durée de vie médiocre,2014-11-04
 213,104,213,0.75,Très satisfait de cet achat,2020-12-28
 214,121,214,2.5,Article super,2018-01-06
 215,61,215,0.25,Très satisfait de cet achat,2014-12-13
 216,20,216,4.25,Suivi déplorable,2014-10-13
 217,143,217,5,Suivi déplorable,2015-04-03
 218,114,218,1.5,Suivi déplorable,2017-08-31
 219,129,219,1,Rapport qualité prix satisfaisante,2015-11-24
 220,25,220,0.75,Article super,2017-07-02
 221,175,221,1.5,Article super,2019-07-08
 222,105,222,4.25,Qualité et durée de vie médiocre,2015-08-01
 223,87,223,4.25,Livraison Exemplaire,2020-01-02
 224,10,224,0.25,Suivi déplorable,2018-01-27
 225,192,225,2,Très satisfait de cet achat,2016-05-14
 226,181,226,1,Qualité et durée de vie médiocre,2017-02-18
 227,175,227,4.25,Livraison Exemplaire,2017-11-09
 228,55,228,3.75,Suivi déplorable,2017-01-29
 229,150,229,3.75,Livraison Exemplaire,2015-08-14
 230,6,230,4.5,Livraison Exemplaire,2015-01-14
 231,162,231,5,Rapport qualité prix satisfaisante,2018-12-17
 232,39,232,4,Qualité et durée de vie médiocre,2017-09-11
 233,111,233,4.25,Suivi déplorable,2020-02-29
 234,180,234,0.25,Rapport qualité prix satisfaisante,2014-07-27
 235,131,235,4.5,Très satisfait de cet achat,2013-06-08
 236,42,236,0.75,Très satisfait de cet achat,2014-09-24
 237,173,237,1,Excellent Produit,2013-07-10
 238,134,238,1.25,Qualité et durée de vie médiocre,2017-10-08
 239,53,239,0.5,Excellent Produit,2018-12-30
 240,119,240,0.75,Suivi déplorable,2019-06-13
 241,186,241,0.75,Rapport qualité prix satisfaisante,2018-01-26
 242,109,242,0.25,Livraison Exemplaire,2018-04-07
 243,79,243,2.5,Rapport qualité prix satisfaisante,2014-08-10
 244,142,244,0.5,Livraison Exemplaire,2014-05-07
 245,172,245,0.5,Très satisfait de cet achat,2015-10-30
 246,100,246,0.25,Suivi déplorable,2016-08-16
 247,10,247,2,Très satisfait de cet achat,2013-11-04
 248,145,248,3.75,Article super,2018-04-08
 249,26,249,0.75,Article super,2014-04-14
 250,16,250,3.75,Article super,2013-12-11
 251,13,251,1.25,Qualité et durée de vie médiocre,2019-11-16
 252,61,252,4.5,Livraison Exemplaire,2021-02-19
 253,110,253,3.75,Qualité et durée de vie médiocre,2020-01-14
 254,98,254,4,Qualité et durée de vie médiocre,2020-06-22
 255,119,255,4,Excellent Produit,2021-02-14
 256,66,256,3.75,Qualité et durée de vie médiocre,2014-05-21
 257,90,257,0.5,Très satisfait de cet achat,2017-03-15
 258,56,258,4,Qualité et durée de vie médiocre,2014-05-17
 259,103,259,4,Livraison Exemplaire,2019-11-01
 260,42,260,0.25,Très satisfait de cet achat,2020-11-03
 261,42,261,3.75,Suivi déplorable,2020-01-26
 262,173,262,1.25,Excellent Produit,2018-02-02
 263,53,263,4.75,Qualité et durée de vie médiocre,2020-09-18
 264,39,264,4.75,Suivi déplorable,2014-07-26
 265,82,265,0.5,Article super,2015-09-02
 266,69,266,4.5,Article super,2015-04-10
 267,58,267,4.75,Article super,2016-02-03
 268,125,268,1.5,Qualité et durée de vie médiocre,2017-05-14
 269,147,269,3.75,Excellent Produit,2018-07-27
 270,125,270,5,Livraison Exemplaire,2016-05-30
 271,29,271,0.75,Très satisfait de cet achat,2016-09-18
 272,45,272,4.75,Livraison Exemplaire,2016-09-13
 273,85,273,5,Rapport qualité prix satisfaisante,2018-02-03
 274,55,274,1.25,Qualité et durée de vie médiocre,2013-06-03
 275,90,275,4,Article super,2014-07-01
 276,199,276,0.25,Excellent Produit,2017-09-23
 277,87,277,4.25,Suivi déplorable,2020-08-04
 278,4,278,1.25,Suivi déplorable,2014-07-13
 279,161,279,0.25,Article super,2020-08-30
 280,143,280,4,Qualité et durée de vie médiocre,2015-01-07
 281,200,281,4.25,Qualité et durée de vie médiocre,2017-10-18
 282,184,282,1.25,Suivi déplorable,2015-07-20
 283,115,283,0.25,Excellent Produit,2020-06-29
 284,63,284,1,Article super,2019-02-07
 285,59,285,0.5,Très satisfait de cet achat,2019-09-29
 286,84,286,2.5,Article super,2016-03-03
 287,51,287,1,Rapport qualité prix satisfaisante,2017-12-18
 288,50,288,2.5,Très satisfait de cet achat,2020-08-27
 289,155,289,1,Rapport qualité prix satisfaisante,2014-07-05
 290,171,290,1.25,Très satisfait de cet achat,2017-12-30
 291,8,291,1.25,Rapport qualité prix satisfaisante,2020-11-28
 292,16,292,3.75,Très satisfait de cet achat,2020-01-26
 293,183,293,2,Qualité et durée de vie médiocre,2021-01-26
 294,70,294,1.5,Très satisfait de cet achat,2015-04-07
 295,24,295,0.75,Excellent Produit,2019-10-31
 296,43,296,2,Très satisfait de cet achat,2016-11-14
 297,102,297,1,Qualité et durée de vie médiocre,2014-10-21
 298,103,298,1,Qualité et durée de vie médiocre,2017-04-12
 299,24,299,0.75,Livraison Exemplaire,2014-12-03
 300,195,300,4,Rapport qualité prix satisfaisante,2018-04-29
301,23,301,1,Excellent Produit,2014-02-14
 302,113,302,0.5,Suivi déplorable,2018-01-01
 303,44,303,3.75,Suivi déplorable,2016-11-23
 304,165,304,1,Suivi déplorable,2013-07-17
 305,171,305,3.75,Très satisfait de cet achat,2019-09-20
 306,125,306,2,Très satisfait de cet achat,2014-04-02
 307,155,307,4.5,Suivi déplorable,2017-08-21
 308,140,308,1.5,Excellent Produit,2021-03-05
 309,41,309,0.75,Suivi déplorable,2013-07-25
 310,138,310,0.75,Rapport qualité prix satisfaisante,2018-08-16
 311,50,311,1.25,Excellent Produit,2018-12-12
 312,7,312,4.75,Rapport qualité prix satisfaisante,2017-01-15
 313,58,313,4.75,Excellent Produit,2016-05-19
 314,56,314,0.5,Rapport qualité prix satisfaisante,2013-11-28
 315,111,315,1.25,Très satisfait de cet achat,2016-03-03
 316,191,316,4.25,Excellent Produit,2017-08-18
 317,46,317,3.75,Qualité et durée de vie médiocre,2017-01-01
 318,5,318,2,Excellent Produit,2020-12-31
 319,64,319,1.5,Très satisfait de cet achat,2020-02-02
 320,190,320,0.5,Livraison Exemplaire,2014-07-28
 321,89,321,0.75,Livraison Exemplaire,2016-10-20
 322,47,322,2.5,Suivi déplorable,2015-04-15
 323,72,323,0.5,Rapport qualité prix satisfaisante,2018-09-25
 324,120,324,2.5,Article super,2014-01-01
 325,136,325,4,Qualité et durée de vie médiocre,2017-03-26
 326,50,326,1,Qualité et durée de vie médiocre,2018-02-23
 327,29,327,0.5,Très satisfait de cet achat,2017-04-16
 328,120,328,0.25,Suivi déplorable,2018-10-08
 329,25,329,2,Excellent Produit,2014-11-30
 330,165,330,0.25,Excellent Produit,2018-06-19
 331,78,331,5,Rapport qualité prix satisfaisante,2017-12-27
 332,142,332,1.5,Suivi déplorable,2019-01-03
 333,101,333,1.5,Excellent Produit,2020-11-29
 334,179,334,0.5,Excellent Produit,2014-01-20
 335,178,335,0.25,Rapport qualité prix satisfaisante,2013-05-06
 336,104,336,5,Suivi déplorable,2014-08-11
 337,4,337,1.25,Rapport qualité prix satisfaisante,2020-11-25
 338,166,338,1.5,Très satisfait de cet achat,2019-12-23
 339,69,339,1.25,Suivi déplorable,2013-05-24
 340,113,340,0.5,Article super,2013-10-02
 341,174,341,2.5,Excellent Produit,2017-12-19
 342,32,342,3.75,Suivi déplorable,2018-11-13
 343,85,343,4,Rapport qualité prix satisfaisante,2014-05-19
 344,157,344,1,Qualité et durée de vie médiocre,2015-07-09
 345,100,345,4.5,Très satisfait de cet achat,2020-03-10
 346,22,346,2,Livraison Exemplaire,2018-07-26
 347,182,347,2.5,Article super,2021-03-19
 348,6,348,5,Article super,2014-09-29
 349,140,349,3.75,Qualité et durée de vie médiocre,2013-09-27
 350,186,350,3.75,Suivi déplorable,2020-11-07
 351,37,351,4.75,Rapport qualité prix satisfaisante,2018-05-30
 352,116,352,0.5,Très satisfait de cet achat,2015-12-20
 353,146,353,2.5,Excellent Produit,2018-12-11
 354,153,354,1.5,Très satisfait de cet achat,2017-08-09
 355,83,355,0.25,Rapport qualité prix satisfaisante,2019-02-12
 356,171,356,2.5,Suivi déplorable,2017-03-13
 357,59,357,1.25,Qualité et durée de vie médiocre,2018-03-14
 358,163,358,0.5,Très satisfait de cet achat,2020-07-06
 359,15,359,5,Article super,2017-05-15
 360,180,360,4.5,Livraison Exemplaire,2021-04-20
 361,106,361,1.5,Excellent Produit,2014-01-26
 362,9,362,1,Excellent Produit,2015-04-15
 363,131,363,2,Rapport qualité prix satisfaisante,2016-12-20
 364,69,364,4.5,Très satisfait de cet achat,2020-04-18
 365,134,365,4.5,Excellent Produit,2016-01-03
 366,145,366,2.5,Livraison Exemplaire,2014-01-10
 367,198,367,2,Livraison Exemplaire,2018-10-26
 368,32,368,0.25,Très satisfait de cet achat,2020-07-20
 369,99,369,1.25,Suivi déplorable,2015-03-10
 370,199,370,1.25,Livraison Exemplaire,2014-09-07
 371,120,371,1,Excellent Produit,2014-12-22
 372,141,372,0.5,Article super,2020-06-30
 373,32,373,1,Rapport qualité prix satisfaisante,2016-02-05
 374,94,374,5,Suivi déplorable,2019-01-09
 375,117,375,4.25,Suivi déplorable,2018-02-26
 376,187,376,4.5,Livraison Exemplaire,2021-02-21
 377,20,377,2,Livraison Exemplaire,2020-06-28
 378,180,378,0.5,Excellent Produit,2015-06-28
 379,94,379,4.5,Rapport qualité prix satisfaisante,2015-08-16
 380,194,380,0.5,Très satisfait de cet achat,2017-02-04
 381,78,381,1.25,Rapport qualité prix satisfaisante,2013-06-25
 382,72,382,4.25,Rapport qualité prix satisfaisante,2013-05-22
 383,165,383,2.5,Qualité et durée de vie médiocre,2015-10-06
 384,64,384,4.25,Article super,2020-12-07
 385,65,385,4.5,Article super,2016-12-19
 386,108,386,2,Excellent Produit,2014-12-13
 387,15,387,4,Rapport qualité prix satisfaisante,2020-09-09
 388,196,388,4,Livraison Exemplaire,2019-09-14
 389,38,389,5,Suivi déplorable,2018-11-20
 390,136,390,1,Livraison Exemplaire,2014-01-16
 391,44,391,4.25,Excellent Produit,2018-04-19
 392,137,392,1.25,Excellent Produit,2013-08-30
 393,177,393,4.5,Article super,2020-06-29
 394,162,394,4.25,Excellent Produit,2017-12-14
 395,22,395,4.75,Suivi déplorable,2020-12-21
 396,20,396,3.75,Qualité et durée de vie médiocre,2021-04-12
 397,134,397,0.25,Suivi déplorable,2015-09-11
 398,115,398,4.25,Très satisfait de cet achat,2015-04-27
 399,113,399,4.75,Livraison Exemplaire,2013-11-23
 400,50,400,0.5,Rapport qualité prix satisfaisante,2013-09-10
401,101,401,4.75,Suivi déplorable,2017-12-30
 402,197,402,4,Excellent Produit,2018-06-12
 403,48,403,0.75,Article super,2015-04-02
 404,51,404,1.5,Qualité et durée de vie médiocre,2020-01-09
 405,195,405,5,Rapport qualité prix satisfaisante,2014-04-11
 406,75,406,4.25,Rapport qualité prix satisfaisante,2018-08-19
 407,33,407,4,Excellent Produit,2015-09-30
 408,176,408,1.5,Qualité et durée de vie médiocre,2019-10-22
 409,89,409,0.25,Excellent Produit,2017-02-06
 410,68,410,1.5,Livraison Exemplaire,2021-04-01
 411,177,411,5,Rapport qualité prix satisfaisante,2016-09-07
 412,105,412,0.5,Article super,2014-10-10
 413,127,413,2,Suivi déplorable,2017-06-02
 414,174,414,1,Rapport qualité prix satisfaisante,2015-01-06
 415,92,415,4,Suivi déplorable,2016-08-04
 416,76,416,4.5,Livraison Exemplaire,2015-11-06
 417,165,417,0.5,Article super,2019-10-18
 418,32,418,4.25,Rapport qualité prix satisfaisante,2018-06-28
 419,93,419,5,Qualité et durée de vie médiocre,2017-06-26
 420,10,420,4.5,Qualité et durée de vie médiocre,2014-05-25
 421,114,421,4.5,Qualité et durée de vie médiocre,2018-01-06
 422,200,422,0.25,Livraison Exemplaire,2019-11-22
 423,53,423,2,Qualité et durée de vie médiocre,2018-03-16
 424,137,424,1,Excellent Produit,2014-06-30
 425,167,425,1.25,Livraison Exemplaire,2013-12-19
 426,2,426,5,Excellent Produit,2021-01-05
 427,78,427,0.75,Qualité et durée de vie médiocre,2015-07-27
 428,109,428,2,Article super,2017-06-10
 429,61,429,5,Rapport qualité prix satisfaisante,2019-01-13
 430,45,430,1.25,Livraison Exemplaire,2014-01-03
 431,189,431,4.25,Très satisfait de cet achat,2017-04-29
 432,73,432,0.25,Très satisfait de cet achat,2017-05-01
 433,40,433,1,Qualité et durée de vie médiocre,2020-10-28
 434,8,434,0.75,Rapport qualité prix satisfaisante,2019-09-06
 435,26,435,1.5,Suivi déplorable,2017-06-12
 436,118,436,5,Qualité et durée de vie médiocre,2014-06-05
 437,111,437,4.5,Excellent Produit,2017-09-15
 438,166,438,0.5,Très satisfait de cet achat,2014-01-20
 439,82,439,4.75,Livraison Exemplaire,2017-06-25
 440,135,440,4,Rapport qualité prix satisfaisante,2018-10-14
 441,167,441,4.25,Qualité et durée de vie médiocre,2017-05-12
 442,36,442,3.75,Suivi déplorable,2018-07-21
 443,200,443,2.5,Article super,2014-01-15
 444,158,444,0.5,Livraison Exemplaire,2014-03-18
 445,129,445,4,Livraison Exemplaire,2017-04-08
 446,24,446,4.25,Excellent Produit,2013-11-27
 447,165,447,4,Article super,2017-12-25
 448,171,448,1,Article super,2017-11-30
 449,133,449,0.5,Suivi déplorable,2017-11-30
 450,70,450,1.25,Excellent Produit,2014-01-15
 451,164,451,0.25,Rapport qualité prix satisfaisante,2013-10-20
 452,124,452,1,Rapport qualité prix satisfaisante,2014-10-10
 453,191,453,4,Rapport qualité prix satisfaisante,2020-04-08
 454,5,454,4.25,Article super,2016-04-01
 455,135,455,4.75,Livraison Exemplaire,2014-09-04
 456,178,456,4.75,Rapport qualité prix satisfaisante,2015-07-11
 457,196,457,2,Article super,2016-04-17
 458,31,458,4.25,Excellent Produit,2020-10-17
 459,11,459,0.25,Qualité et durée de vie médiocre,2013-11-15
 460,153,460,3.75,Livraison Exemplaire,2021-03-06
 461,184,461,4.5,Qualité et durée de vie médiocre,2017-08-11
 462,72,462,4,Livraison Exemplaire,2017-04-27
 463,77,463,1,Très satisfait de cet achat,2020-08-17
 464,133,464,3.75,Article super,2017-03-10
 465,194,465,2,Article super,2021-02-05
 466,69,466,4.5,Livraison Exemplaire,2020-01-05
 467,102,467,4,Très satisfait de cet achat,2016-12-20
 468,23,468,2.5,Livraison Exemplaire,2014-12-11
 469,24,469,5,Qualité et durée de vie médiocre,2014-06-16
 470,175,470,5,Livraison Exemplaire,2016-06-03
 471,139,471,1,Article super,2015-02-23
 472,127,472,1.5,Article super,2015-05-13
 473,73,473,2.5,Très satisfait de cet achat,2015-12-09
 474,116,474,5,Suivi déplorable,2014-06-16
 475,177,475,0.25,Qualité et durée de vie médiocre,2016-12-14
 476,54,476,5,Article super,2013-08-31
 477,33,477,2.5,Article super,2019-01-23
 478,134,478,1,Livraison Exemplaire,2019-06-28
 479,106,479,5,Excellent Produit,2014-09-30
 480,18,480,1.5,Suivi déplorable,2019-09-20
 481,109,481,1.25,Très satisfait de cet achat,2020-02-24
 482,60,482,0.75,Excellent Produit,2020-07-16
 483,42,483,4.5,Qualité et durée de vie médiocre,2014-10-11
 484,192,484,4,Très satisfait de cet achat,2020-03-06
 485,162,485,4.5,Qualité et durée de vie médiocre,2013-06-29
 486,145,486,0.75,Article super,2013-07-08
 487,154,487,1,Excellent Produit,2014-04-09
 488,200,488,0.75,Qualité et durée de vie médiocre,2020-06-14
 489,39,489,4.5,Article super,2017-02-12
 490,58,490,3.75,Rapport qualité prix satisfaisante,2015-12-17
 491,188,491,1,Livraison Exemplaire,2017-12-25
 492,166,492,0.75,Rapport qualité prix satisfaisante,2018-02-26
 493,177,493,1.25,Excellent Produit,2016-11-20
 494,62,494,1.5,Rapport qualité prix satisfaisante,2020-11-07
 495,166,495,0.75,Très satisfait de cet achat,2015-11-07
 496,101,496,1,Suivi déplorable,2018-02-20
 497,163,497,4,Excellent Produit,2018-08-26
 498,58,498,2,Livraison Exemplaire,2017-10-28
